id,x,y,Fecha,year,evento,detalles,causa,perjuicio,zona,links_images
0,-71.32008,-40.14077,27/05/2021,2021,caida de arbol o ramas,arbol caido,viento intenso,materiales,regimiento,https://doc-0g-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/niuduk7m1e53uflhlbtuf7uuio/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9kUlEL2P6yUI5NRs629PnuebhhFeN26FOdVE_rYwNK2vbpG0ceBIbvQxPzujpf3lSaBSFX_L5ezfsqOOv1cMZGGautlKAS-XUnbeh_drEMV2oDGkEqnUEU6a3nghvJaOmJ-5Q3HjQWq9fX51aMTtjFOvEcDaACY0WUkj3kNLMnd6wUBD2-web9pejEFjW4WpBI?session=0&fife
1,-71.29417,-40.13891,24/05/2021,2021,caida de arbol o ramas,arbol caido,viento intenso,lineas de tension,"ruta 40, cjon de bello",https://doc-00-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/8tbmuh2dkua2stvntv1uvtbsns/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9nlIF_tPJiYfcp6m7KhlbLFvTp4-e-IBFaPDgKMZkU_NFi8UpfhS-u3agaAX1gi5-C5MLZb_Ax8xNyPNIHudNCUyewog7syn67oKiqo6wGfZ46W05s85gaBGsVi7Zp74QiNl2KjVkG7WINivbb2nsIGcuVCWsBvmCUM-zsKQrtUQbmk2ayMg8MmSxIzluTHn3Y?session=0&fife
2,-71.35616,-40.15624,27/05/2021,2021,accidente objetos materiales,caida de poste,viento intenso,corte de luz,Rivadavia y Pto.Moreno,
3,-71.33562,-40.14703,27/05/2021,2021,caida de arbol o ramas,caida de arbol,viento intenso,ninguno,altos del sol,https://doc-0o-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/25285vmpgm1dn6tigu6khu9omg/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9lFJ-B5vCSWCDL6igQzfIzGnZplbZR4T99V5bR6VTrUmaqYshF4lxsSQ8YCiqSgyubMlNMxdarZj8JhknTkXtJBlEjHAw2Xwi_Z1XJSxyg4-3LNE87NiJyDZ31E3uR7Qe6v3rPrTMjvOCkpAM8fT1-WaeYl8RkqgR-I57pXDCzgiMcK4owGEb2Pet9_LrRJ5QoT?session=0&fife
4,-71.36085,-40.15937,24/05/2021,2021,caida de arbol o ramas,caida de arboles,viento intenso,predio de DGBA,costanera,https://doc-04-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/8cita2775vue6327491tk90e48/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9met9kVoJNoIORHba8m6ZPCorO7kxah07koCjd11jj4MKvdd1e9nKQPIeOWCl5QMSZLBa6ul9uuswIXEDelehw4jcbrx4WAdTXrlY5xLhc60rFYfElFfj9w813eEk2Vvwz141eKcR00EO65VTzcwh2wMl4BuMTZUbZ99lY4aKIvcyrgYyVikoSGkqJlAOWtMwE?session=0&fife
5,-71.35861,-40.15842,24/05/2021,2021,caida de arbol o ramas,caida de arbol,viento intenso,linea electrica,centro,https://doc-00-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/31gfo83829sq4jcb3320oo0mo8/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9klWglustnXZ7GWWUqGbTpSPsYq96jrAfIiMlqkScJ1BlQBhNf-BMZl-wnLXrhr_HVZi0fFvqcAvzWUGsgm-NB3cKQbTyEcXWmjy6VK9k15dkWF4Lc25qOQX8kxjuNwqBAxjOMuSm6jO1whLiKdS4qYIZL9Yf39KkG4F-3CfF7FlH9Bn5INznlEJ89Q8eDK08Iu?session=0&fife
6,-71.26092,-40.12877,24/05/2021,2021,caida de arbol o ramas,caida de arbol,viento intenso,ninguno,escuela 86,https://doc-14-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/92jodj97ao01s80r76cokvsnfk/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9kOHZtnkeSLgQiNRclEEAVsIwaBFx7b-NqSdBk728cadBNqvXg1pN_uWw_3AgVlmRAgUZjV2aupk8la4cTsjb1-YzynH5H9prTRa0a8mnxJBoMOneXENjk5sDY_PHQ--vk7BNbAd_qfImJUs2EYFAa6y9ZjdtVSA1mNa9j0kfFuIMZzKgek4lUD4qs-CNGVUyWF?session=0&fife
7,-71.34236,-40.14837,27/05/2021,2021,caida de arbol o ramas,caida de arbol sobre vivienda,viento intenso,materiales,altos de sol,https://doc-14-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/4k1nug35nv7j4hl3vjubsjrvd8/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9m4wOEGz5mKS8M0s38DXNG335uzX34QtYl98dAi7LNEiqw_Emk-Lhgc-sHBfrZq5e2WMRtaZMlVgO_mBVi-eDsGDN-lJ88A5x_jtMPgwN6ApzG9u-ph8dlHihil8YTblSYZ6bu0SaUOvbbAeXu2A_aBEob0CddxXis2m0pkI0ys5iixKYTUFAUgh6KIg5E2Tx8?session=0&fife
8,-71.2264,-40.1257,27/06/2021,2021,caida de arbol o ramas,caida de arbol,viento intenso,ninguno,el portal,https://doc-14-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/q0j6ptjpsbfedtoooku1hkge9s/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9nxUo94lqg_cKSAHe3OHmBTfWEttRswfJYREf_3PDR6tkEHCNwNftOZEiNVvTYnv4i57ZVAjJ66i-1oPHDo_bnB34C-ZPhxoIKtpO5anVfECxFM5MXXpVR1-1rMW7eajm19f_DVY7mtPxFP7Bzfw1jAE8zB2MxcexCIp3ejs4Xg2tD41L7LAZxyy0gV5FUEDLg?session=0&fife
9,-71.31441,-40.14609,27/05/2021,2021,eventos naturales,inundacion domiciliaria,acequia tapada,ninguno,chacra 4,https://doc-0s-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/6lbuosmqub6b59o9e1rqombfgc/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9lP-H3Efxb3BflNdXjpF1nsY5l9QwnOIx_44nFiM2hJoeMkPmj9wk6eq1VOQsoy9Cfq13UILe9APuezI_xrqRmFmTeiIUvwUTP6yAz9Dba4Azd8FCfVyR3jK9pHee9ALvFz6KPq3piJoGhdk-atiAYwaLeQH1r27Qt0RVT96bjkIEUSWK3nH23P8so8iwYHZYU?session=0&fife
